bioproject,sample,run,read1,read2
PRJNA694637,GSM5033944,SRR13521085,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521085_GSM5033944_Patient_tumor_sample_1_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033944,SRR13521086,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521086_GSM5033944_Patient_tumor_sample_1_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033944,SRR13521087,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521087_GSM5033944_Patient_tumor_sample_1_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033944,SRR13521088,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521088_GSM5033944_Patient_tumor_sample_1_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033944,SRR13521089,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521089_GSM5033944_Patient_tumor_sample_1_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033945,SRR13521090,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521090_GSM5033945_Patient_tumor_sample_1_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033945,SRR13521091,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521091_GSM5033945_Patient_tumor_sample_1_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033945,SRR13521092,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521092_GSM5033945_Patient_tumor_sample_1_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033945,SRR13521093,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521093_GSM5033945_Patient_tumor_sample_1_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033945,SRR13521094,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521094_GSM5033945_Patient_tumor_sample_1_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033946,SRR13521095,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521095_GSM5033946_Patient_tumor_sample_2_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033946,SRR13521096,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521096_GSM5033946_Patient_tumor_sample_2_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033946,SRR13521097,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521097_GSM5033946_Patient_tumor_sample_2_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033946,SRR13521098,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521098_GSM5033946_Patient_tumor_sample_2_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033946,SRR13521099,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521099_GSM5033946_Patient_tumor_sample_2_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033947,SRR13521100,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521100_GSM5033947_Patient_tumor_sample_2_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033947,SRR13521101,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521101_GSM5033947_Patient_tumor_sample_2_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033947,SRR13521102,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521102_GSM5033947_Patient_tumor_sample_2_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033947,SRR13521103,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521103_GSM5033947_Patient_tumor_sample_2_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033947,SRR13521104,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521104_GSM5033947_Patient_tumor_sample_2_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033948,SRR13521105,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521105_GSM5033948_Patient_tumor_sample_3_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033948,SRR13521106,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521106_GSM5033948_Patient_tumor_sample_3_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033948,SRR13521107,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521107_GSM5033948_Patient_tumor_sample_3_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033948,SRR13521108,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521108_GSM5033948_Patient_tumor_sample_3_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033948,SRR13521109,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521109_GSM5033948_Patient_tumor_sample_3_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033949,SRR13521110,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521110_GSM5033949_Patient_tumor_sample_3_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033949,SRR13521111,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521111_GSM5033949_Patient_tumor_sample_3_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033949,SRR13521112,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521112_GSM5033949_Patient_tumor_sample_3_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033949,SRR13521113,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521113_GSM5033949_Patient_tumor_sample_3_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033949,SRR13521114,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521114_GSM5033949_Patient_tumor_sample_3_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033950,SRR13521115,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521115_GSM5033950_Patient_tumor_sample_3_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033950,SRR13521116,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521116_GSM5033950_Patient_tumor_sample_3_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033950,SRR13521117,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521117_GSM5033950_Patient_tumor_sample_3_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033950,SRR13521118,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521118_GSM5033950_Patient_tumor_sample_3_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033950,SRR13521119,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521119_GSM5033950_Patient_tumor_sample_3_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033951,SRR13521120,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521120_GSM5033951_Patient_tumor_sample_4_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033951,SRR13521121,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521121_GSM5033951_Patient_tumor_sample_4_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033951,SRR13521122,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521122_GSM5033951_Patient_tumor_sample_4_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033951,SRR13521123,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521123_GSM5033951_Patient_tumor_sample_4_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033951,SRR13521124,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521124_GSM5033951_Patient_tumor_sample_4_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033952,SRR13521125,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521125_GSM5033952_Patient_tumor_sample_6_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033952,SRR13521126,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521126_GSM5033952_Patient_tumor_sample_6_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033952,SRR13521127,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521127_GSM5033952_Patient_tumor_sample_6_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033952,SRR13521128,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521128_GSM5033952_Patient_tumor_sample_6_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033952,SRR13521129,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521129_GSM5033952_Patient_tumor_sample_6_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033953,SRR13521130,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521130_GSM5033953_Patient_tumor_sample_7_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033953,SRR13521131,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521131_GSM5033953_Patient_tumor_sample_7_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033953,SRR13521132,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521132_GSM5033953_Patient_tumor_sample_7_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033953,SRR13521133,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521133_GSM5033953_Patient_tumor_sample_7_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033953,SRR13521134,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521134_GSM5033953_Patient_tumor_sample_7_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033954,SRR13521135,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521135_GSM5033954_Patient_tumor_sample_7_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033954,SRR13521136,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521136_GSM5033954_Patient_tumor_sample_7_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033954,SRR13521137,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521137_GSM5033954_Patient_tumor_sample_7_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033954,SRR13521138,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521138_GSM5033954_Patient_tumor_sample_7_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033954,SRR13521139,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521139_GSM5033954_Patient_tumor_sample_7_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033955,SRR13521140,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521140_GSM5033955_Patient_tumor_sample_8_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033955,SRR13521141,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521141_GSM5033955_Patient_tumor_sample_8_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033955,SRR13521142,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521142_GSM5033955_Patient_tumor_sample_8_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033955,SRR13521143,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521143_GSM5033955_Patient_tumor_sample_8_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033955,SRR13521144,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521144_GSM5033955_Patient_tumor_sample_8_baseline_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033956,SRR13521145,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521145_GSM5033956_Patient_tumor_sample_9_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033956,SRR13521146,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521146_GSM5033956_Patient_tumor_sample_9_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033956,SRR13521147,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521147_GSM5033956_Patient_tumor_sample_9_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033956,SRR13521148,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521148_GSM5033956_Patient_tumor_sample_9_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033956,SRR13521149,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521149_GSM5033956_Patient_tumor_sample_9_on_treatment_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033957,SRR13521150,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521150_GSM5033957_Patient_tumor_sample_9_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033957,SRR13521151,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521151_GSM5033957_Patient_tumor_sample_9_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033957,SRR13521152,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521152_GSM5033957_Patient_tumor_sample_9_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
PRJNA694637,GSM5033957,SRR13521153,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA694637/fastq/SRR13521153_GSM5033957_Patient_tumor_sample_9_resection_Homo_sapiens_RNA-Seq_1.fastq.gz,
