bioproject,sample,run,read1,read2
PRJNA312948,GSM2069823,SRR3184279,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184279_GSM2069823_Pt1_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184279_GSM2069823_Pt1_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069824,SRR3184280,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184280_GSM2069824_Pt2_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184280_GSM2069824_Pt2_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069825,SRR3184281,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184281_GSM2069825_Pt4_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184281_GSM2069825_Pt4_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069826,SRR3184282,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184282_GSM2069826_Pt5_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184282_GSM2069826_Pt5_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069827,SRR3184283,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184283_GSM2069827_Pt6_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184283_GSM2069827_Pt6_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069828,SRR3184284,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184284_GSM2069828_Pt7_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184284_GSM2069828_Pt7_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069829,SRR3184285,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184285_GSM2069829_Pt8_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184285_GSM2069829_Pt8_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069830,SRR3184286,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184286_GSM2069830_Pt9_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184286_GSM2069830_Pt9_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069831,SRR3184287,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184287_GSM2069831_Pt10_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184287_GSM2069831_Pt10_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA312948,GSM2069832,SRR3184288,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184288_GSM2069832_Pt12_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA312948/fastq/SRR3184288_GSM2069832_Pt12_Homo_sapiens_RNA-Seq_2.fastq.gz
