bioproject,sample,run,read1,read2
PRJNA476140,GSM3190464,SRR7344544,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344544_GSM3190464_115-031814_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344544_GSM3190464_115-031814_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190465,SRR7344545,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344545_GSM3190465_115-041514_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344545_GSM3190465_115-041514_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190466,SRR7344546,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344546_GSM3190466_148-6-5-14_S9_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344546_GSM3190466_148-6-5-14_S9_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190467,SRR7344547,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344547_GSM3190467_208-10-22-14_S12_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344547_GSM3190467_208-10-22-14_S12_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190468,SRR7344548,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344548_GSM3190468_208-3-11-15_S13_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344548_GSM3190468_208-3-11-15_S13_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190469,SRR7344549,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344549_GSM3190469_208-5-13-15_S14_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344549_GSM3190469_208-5-13-15_S14_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190470,SRR7344550,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344550_GSM3190470_208-9-10-14_S11_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344550_GSM3190470_208-9-10-14_S11_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190471,SRR7344551,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344551_GSM3190471_MGH272-020415.bam_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344551_GSM3190471_MGH272-020415.bam_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190472,SRR7344552,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344552_GSM3190472_MGH272-121914.bam_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344552_GSM3190472_MGH272-121914.bam_Homo_sapiens_RNA-Seq_2.fastq.gz
PRJNA476140,GSM3190473,SRR7344553,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344553_GSM3190473_39-10-31-14_S17_Homo_sapiens_RNA-Seq_1.fastq.gz,/mnt/data/data_gc/20250713_immuno-analysis/data/00_fastq/PRJNA476140/fastq/SRR7344553_GSM3190473_39-10-31-14_S17_Homo_sapiens_RNA-Seq_2.fastq.gz
